Site,Depth (m),Morphotaxa,Bleaching Score 2019,Bleaching Score 2020,Bleaching Score difference between 2019 and 2020
BB,6,AcroporaArborescent,1,1,0
BB,6,AcroporaArborescent,1,1,0
BB,6,AcroporaArborescent,1,1,0
SBHR,6,AcroporaArborescent,1,1,0
SBSR,6,AcroporaArborescent,1,1,0
SBSR,6,AcroporaArborescent,1,1,0
SBSR,6,AcroporaArborescent,1,1,0
SBSR,6,AcroporaArborescent,1,1,0
TT,6,AcroporaArborescent,1,1,0
TT,6,AcroporaArborescent,1,1,0
TT,6,AcroporaArborescent,1,1,0
TT,6,AcroporaArborescent,1,1,0
TT,6,AcroporaArborescent,2,1,1
BB,6,AcroporaCorymbose,1,1,0
BB,6,AcroporaCorymbose,1,1,0
BB,6,AcroporaCorymbose,1,1,0
BB,6,AcroporaCorymbose,1,1,0
BB,6,AcroporaCorymbose,1,1,0
BB,6,AcroporaCorymbose,1,1,0
BB,6,AcroporaCorymbose,1,1,0
BB,6,AcroporaCorymbose,1,1,0
BB,6,AcroporaCorymbose,1,1,0
BB,6,AcroporaCorymbose,1,1,0
BB,6,AcroporaCorymbose,1,1,0
BB,6,AcroporaCorymbose,1,1,0
SBHR,6,AcroporaCorymbose,1,1,0
SBHR,6,AcroporaCorymbose,1,1,0
SBHR,6,AcroporaCorymbose,1,1,0
SBHR,6,AcroporaCorymbose,1,1,0
SBHR,6,AcroporaCorymbose,1,1,0
SBHR,6,AcroporaCorymbose,1,1,0
SBHR,6,AcroporaCorymbose,1,1,0
SBHR,6,AcroporaCorymbose,2,1,1
SBHR,6,AcroporaCorymbose,2,2,0
SBHR,6,AcroporaCorymbose,2,2,0
SBHR,6,AcroporaCorymbose,2,2,0
SBHR,12,AcroporaCorymbose,2,2,0
SBHR,12,AcroporaCorymbose,2,2,0
SBHR,12,AcroporaCorymbose,2,2,0
SBHR,12,AcroporaCorymbose,2,2,0
TT,6,AcroporaDigitate,1,1,0
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
